time,open,high,low,close,tick_volume,spread,real_volume,returns
2025-11-14 17:00:00,4082.66,4096.49,4068.23,4093.43,24125,32,0,0.0026453536078459017
2025-11-14 18:00:00,4093.47,4111.14,4080.84,4105.0,18558,32,0,0.002826480482138516
2025-11-14 19:00:00,4105.08,4110.5,4094.03,4099.79,15591,32,0,-0.0012691839220463352
2025-11-14 20:00:00,4099.86,4103.54,4080.81,4098.06,15534,32,0,-0.0004219728327546912
2025-11-14 21:00:00,4097.87,4100.07,4087.64,4089.9,11732,32,0,-0.0019911860734104225
2025-11-14 22:00:00,4089.94,4092.33,4075.33,4087.04,13224,32,0,-0.0006992836010660808
2025-11-14 23:00:00,4087.05,4087.05,4077.63,4084.99,4446,32,0,-0.0005015854995302771
2025-11-17 01:00:00,4086.15,4106.6,4077.01,4096.56,7828,34,0,0.0028323202749580556
2025-11-17 02:00:00,4096.54,4098.25,4080.59,4083.16,11357,34,0,-0.003271037162888013
2025-11-17 03:00:00,4083.09,4101.83,4082.59,4091.21,14582,34,0,0.0019715122601122737
2025-11-17 04:00:00,4091.24,4093.62,4080.65,4081.9,12341,34,0,-0.0022756103939910455
2025-11-17 05:00:00,4081.93,4085.6,4069.95,4082.75,10955,34,0,0.00020823636051825467
2025-11-17 06:00:00,4082.72,4087.89,4076.82,4078.49,7104,34,0,-0.0010434143653175187
2025-11-17 07:00:00,4078.56,4078.6,4049.58,4058.22,13182,34,0,-0.004969976633508955
2025-11-17 08:00:00,4058.12,4071.84,4054.71,4065.94,11529,34,0,0.0019023118510086423
2025-11-17 09:00:00,4065.78,4089.0,4065.09,4088.08,8903,32,0,0.005445235296143158
2025-11-17 10:00:00,4088.22,4095.88,4072.02,4077.32,11809,32,0,-0.002632042425784187
2025-11-17 11:00:00,4076.9,4088.55,4072.08,4082.13,10244,32,0,0.0011796964672872168
2025-11-17 12:00:00,4082.03,4089.38,4068.38,4070.18,9525,32,0,-0.002927393297126768
2025-11-17 13:00:00,4070.19,4085.79,4060.99,4078.39,10592,32,0,0.0020171098084114103
2025-11-17 14:00:00,4078.57,4085.09,4074.53,4077.09,8758,32,0,-0.0003187532335062748
2025-11-17 15:00:00,4077.57,4092.11,4060.83,4065.24,14252,32,0,-0.0029064847722273246
2025-11-17 16:00:00,4063.54,4081.89,4060.56,4076.16,17278,32,0,0.0026861882693272054
2025-11-17 17:00:00,4076.2,4077.45,4060.63,4064.04,19934,32,0,-0.0029733867169100536
2025-11-17 18:00:00,4064.03,4073.6,4052.06,4069.89,15754,32,0,0.0014394543360793932
2025-11-17 19:00:00,4069.99,4080.82,4069.58,4073.29,12204,32,0,0.0008354034138515765
2025-11-17 20:00:00,4073.32,4076.03,4062.19,4062.5,12289,32,0,-0.002648964350684624
2025-11-17 21:00:00,4062.5,4064.96,4010.82,4011.05,18822,32,0,-0.012664615384615385
